RightAsc;Decl;  Mag B  ;  Mag V  ;  Mag R  
137.2177374;51.60464775;4.75;4.48;4.21
284.9056516;15.06828104;5.1;4.02;3.26
154.9931273;19.84148522;3.79;2.37;10
230.45154;-36.26137329;5.076;3.546;10
55.73122002;47.78749674;2.89;3.01;2.99
122.1485337;-2.983787661;5.3;4.33;3.6
131.6772844;-56.76977625;4.31;4.49;4.59
297.0431269;70.2679303;4.83;3.91;10
238.456408;-16.72929705;5.17;4.16;3.44
30.0012853;-21.07783167;5.58;4.02;2.76
63.81799841;-7.652869661;5.25;4.43;3.74
176.6284285;-61.17839961;5.01;4.1;10
95.67493897;-17.95591871;1.73;1.97;2.11
342.5008045;24.60158128;4.42;3.48;2.8
348.1375146;49.4062072;4.81;4.52;4.23
39.8973402;-68.26694668;4.047;4.096;10
113.6494716;31.88828222;1.62;1.58;1.51
76.36526836;-22.37103449;4.64;3.18;2.08
207.3693387;15.79790464;5.59;4.07;2.87
32.38594634;34.98729706;3.14;3;2.86
27.86513062;-10.33503107;4.86;3.72;2.92
215.759328;-39.51181793;4.24;4.42;4.53
303.8680176;47.71422609;5.5;3.98;2.78
203.6732973;-0.595816416;3.5;3.38;3.31
176.4648317;6.529374721;5.54;4.04;2.79
162.4062011;-16.19364706;4.35;3.11;2.17
257.1966155;65.71464533;3.06;3.17;3.23
214.0036178;-6.000547079;4.6;4.08;10
22.09136952;-43.31823474;4.99;3.42;10
83.78448367;9.934164257;3.48;3.47;10
230.182098;71.83402545;3.067;3.002;10
248.5257601;42.43700949;4.177;4.196;6.02
151.8573432;35.24469587;4.67;4.49;4.31
40.8251629;3.23581638;3.56;3.47;3.36
88.59576246;20.27617279;5;4.4;3.9
296.5649123;10.61325872;4.23;2.72;1.65
285.6530427;-29.8800633;2.69;2.59;10
104.0342691;-17.05423863;4.297;4.385;6.4
341.6732494;12.17288579;4.69;4.2;3.73
102.4840381;-50.6145387;4.13;2.93;10
302.1817036;-66.18206744;4.32;3.56;2.95
252.5408784;-34.29323159;3.45;2.29;1.43
117.3095733;-46.37319965;3.93;4.11;4.19
78.07462744;-11.86910091;4.35;4.45;10
42.27257877;-32.40589778;5.45;4.46;3.7
29.6922441;-61.56982215;3.13;2.84;2.55
253.725;-40.7333;10;3.4;10
200.9814262;54.92535988;2.271;2.22;2.1
108.1401047;-46.75930461;4.81;4.49;4.17
274.4068217;-36.76169016;4.67;3.11;1.55
154.2707314;-61.33230464;4.899;3.35;10
222.7196379;-16.04177652;2.9;2.75;2.61
14.17721289;60.71674002;2.29;2.39;2.32
17.91507153;30.08963793;5.605;4.511;10
28.4114138;-46.30266927;6;4.41;2.68
311.2395566;-66.20321158;3.577;3.408;10
56.58160786;23.94835894;4.12;4.18;10
101.9651995;2.412176392;5.58;4.47;3.68
292.4264926;51.72977792;3.899;3.755;10
82.69604602;5.948145281;4.32;4.46;10
197.9683076;27.87818397;4.84;4.25;3.77
68.91360921;10.16075323;4.412;4.25;10
258.7618094;36.80916155;4.61;3.18;2.22
114.8254979;5.22498756;0.79;0.37;-0.05
180.7562527;-63.31292866;4.56;4.32;10
271.6577841;-50.09147988;3.58;3.66;10
246.7559815;-18.45624999;4.71;4.43;3.97
129.4109707;-42.98908063;4.24;4.14;3.98
286.735013;-27.67041564;4.51;3.31;2.44
17.0961691;-55.24576;3.908;4.014;10
209.6697862;-44.80358582;3.67;3.87;4.01
7.886116901;-62.95821746;4.249;4.289;10
296.84694;18.53431357;5.12;3.81;2.37
95.98795783;-52.69566138;-0.59;-0.74;-0.96
343.1536419;-7.579596924;5.44;3.79;2.37
241.0922274;-11.3731039;4.64;4.17;10
17.3755234;47.24179429;4.18;4.25;4.22
36.74634213;-47.70384066;4.11;4.25;4.28
342.3979208;-13.59262854;5.57;3.98;2.79
49.87916937;-21.7578654;5.32;3.7;2.12
239.3968808;26.87787963;5.36;4.13;3.27
84.41118926;21.14254411;2.84;3.03;3.06
67.14374134;15.96228366;4.78;3.84;5.48
184.5867696;-79.31223407;4.104;4.229;10
211.6706147;-36.36995474;3.04;2.05;1.29
240.030533;-38.39670506;3.19;3.41;10
207.3613414;-34.45077353;5.69;4.19;2.06
137.8196751;-62.31697773;3.774;3.943;10
95.9425;4.5956;4.51;4.31;4.12
89.93029218;37.21258463;2.54;2.62;2.62
111.0237595;-29.30310551;2.37;2.45;2.38
30.51175823;2.763771961;4.06;4.11;10
92.9849877;14.20876726;4.31;4.48;4.53
340.7505369;30.22121471;3.81;2.95;2.31
305.9650575;32.19013379;5.77;4.44;3.43
215.1393016;-37.88529206;4.006;4.034;6.13
287.5073197;-39.34079269;5.281;4.095;10
336.8331795;-64.96636021;4.48;4.49;6.29
134.8018901;48.04182614;3.33;3.14;2.92
85.18969643;-1.942572322;1.79;1.9;10
50.08484196;29.04845766;6.02;4.47;3.27
194.00694;38.31837644;2.76;2.88;2.98
130.025597;-35.30835511;4.885;3.954;10
24.42852283;-57.23675281;0.3;0.46;0.49
78.32283087;2.861239207;5.72;4.48;3.59
214.7774695;-13.3710913;4.66;4.52;10
101.499;-20.716;4.89;4.5;10
311.3380386;57.57971652;5.05;4.51;10
83.85827581;-5.909888524;2.53;2.77;10
182.5311691;-22.61976722;4.32;2.98;2.05
191.9302866;-59.688772;1.02;1.25;1.38
338.839089;-0.117497407;3.95;4.03;4.06
233.7849104;-41.16676775;3.33;3.51;10
272.8073385;-45.95441177;5.518;4.508;10
188.435601;41.35747815;4.86;4.25;3.73
343.9870841;-32.53962394;5.172;4.208;10
224.7903539;-42.10419637;2.93;3.11;10
237.704022;4.477730971;3.844;3.693;10
44.56834883;-40.3046962;4.2;4.11;10
281.755143;18.18151606;4.49;4.36;4.19
64.00661093;-51.48664798;4.55;4.2;10
303.407951;46.74132267;5.08;3.8;2.83
266.9731691;2.707279122;3.8;3.75;3.71
167.4158679;44.49848775;4.15;3.01;2.18
219.8960963;-60.83752757;2.21;1.33;10
66.58654509;15.61830114;4.758;4.48;5.96
252.9676181;-38.04739946;2.82;2.98;10
167.9144947;-22.82584805;4.475;4.449;10
26.3484384;9.157750733;5.22;4.26;3.53
235.3877279;19.67039944;4.563;4.505;10
188.5968122;-23.39676022;3.52;2.64;2.03
56.3020833;24.46727376;4.19;4.3;4.3
142.8054923;-57.03437645;4.691;3.139;10
302.8261945;-0.821463594;3.15;3.22;3.29
154.1725632;23.41731699;3.72;3.41;3.09
85.18969443;-1.94257359;1.56;1.77;1.85
245.2971488;-25.59279208;3.02;2.89;1.69
81.28276356;6.34970326;1.42;1.64;1.73
249.2897502;-10.56708604;2.58;2.56;2.46
269.1515412;51.48889562;3.76;2.23;1.08
224.6330224;-43.13396385;2.46;2.68;2.78
21.45396446;60.23528403;2.81;2.68;2.53
247.8455603;-34.70436819;4.06;4.23;4.29
4.581905703;36.78522459;4.57;4.52;4.44
173.2504789;-31.85762444;4.47;3.54;2.84
191.5699956;-68.10809999;3.38;3.55;10
345.4802708;42.32601552;3.53;3.62;3.61
124.1288375;9.185543957;5;3.52;2.42
130.0733306;-52.9219099;3.44;3.63;10
322.889717;-5.571174828;3.71;2.89;2.29
118.3256562;-48.10293513;4.1;4.24;4.26
167.1474532;-58.97503863;5.09;3.83;2.86
124.6314686;-76.91972406;4.448;4.047;10
113.5132523;-22.29606755;4.94;4.39;10
304.4119547;-12.50821219;5.34;4.27;3.49
75.49222654;43.82331031;3.53;2.99;2.47
208.8849402;-47.28837451;2.33;2.55;2.69
114.7057298;-26.80175682;4.33;4.5;10
126.4341461;-66.1368879;4.896;3.759;10
225.4865096;40.39056857;4.47;3.52;2.85
349.3573185;-58.23570138;4.37;3.98;3.57
163.9033191;24.7497173;4.34;4.32;10
214.8509215;-46.05809426;3.355;3.529;10
70.11046426;-19.67149187;5.9;4.3;2.81
252.4464845;-59.04137935;5.306;3.744;10
333.9924037;37.74873523;5.61;4.15;3.15
150.553;-60.041;4.47;4.2;10
115.455246;-72.60609911;4.977;3.944;10
181.302216;8.733018577;5.11;4.12;3.38
117.3235565;-24.85978388;4.56;3.3;2.43
10.83837552;-57.4630635;4.35;4.361;10
220.9143232;-35.17366858;5.41;4.04;10
268.3822064;56.87264193;4.93;3.75;2.92
2.352667056;-45.74742391;4.89;3.87;3.11
